file_name,start,end,classID,class
b'1968 - TrackTribe.mp3',0,20,0,arrabbiato
b'1968 - TrackTribe.mp3',15,35,0,arrabbiato
b'1968 - TrackTribe.mp3',30,50,0,arrabbiato
b'1968 - TrackTribe.mp3',45,65,0,arrabbiato
b'1968 - TrackTribe.mp3',60,80,0,arrabbiato
b'1968 - TrackTribe.mp3',75,95,0,arrabbiato
b'1968 - TrackTribe.mp3',90,110,0,arrabbiato
b'1968 - TrackTribe.mp3',105,125,0,arrabbiato
b'A Young Man - ALBIS.mp3',0,20,0,arrabbiato
b'A Young Man - ALBIS.mp3',15,35,0,arrabbiato
b'A Young Man - ALBIS.mp3',30,50,0,arrabbiato
b'A Young Man - ALBIS.mp3',45,65,0,arrabbiato
b'A Young Man - ALBIS.mp3',60,80,0,arrabbiato
b'A Young Man - ALBIS.mp3',75,95,0,arrabbiato
b'A Young Man - ALBIS.mp3',90,110,0,arrabbiato
b'A Young Man - ALBIS.mp3',105,125,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',0,20,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',15,35,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',30,50,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',45,65,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',60,80,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',75,95,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',90,110,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',105,125,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',120,140,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',135,155,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',150,170,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',165,185,0,arrabbiato
b'Armadillo - Silent Partner.mp3',0,20,0,arrabbiato
b'Armadillo - Silent Partner.mp3',15,35,0,arrabbiato
b'Armadillo - Silent Partner.mp3',30,50,0,arrabbiato
b'Armadillo - Silent Partner.mp3',45,65,0,arrabbiato
b'Armadillo - Silent Partner.mp3',60,80,0,arrabbiato
b'Armadillo - Silent Partner.mp3',75,95,0,arrabbiato
b'Armadillo - Silent Partner.mp3',90,110,0,arrabbiato
b'Armadillo - Silent Partner.mp3',105,125,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',0,20,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',15,35,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',30,50,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',45,65,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',60,80,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',75,95,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',90,110,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',105,125,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',120,140,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',135,155,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',150,170,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',165,185,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',180,200,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',195,215,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',210,230,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',225,245,0,arrabbiato
b'Arms Dealer - Anno Domini Beats.mp3',240,260,0,arrabbiato
b'Baba - Jeremy Black.mp3',0,20,0,arrabbiato
b'Baba - Jeremy Black.mp3',15,35,0,arrabbiato
b'Baba - Jeremy Black.mp3',30,50,0,arrabbiato
b'Baba - Jeremy Black.mp3',45,65,0,arrabbiato
b'Baba - Jeremy Black.mp3',60,80,0,arrabbiato
b'Baba - Jeremy Black.mp3',75,95,0,arrabbiato
b'Baba - Jeremy Black.mp3',90,110,0,arrabbiato
b'Baba - Jeremy Black.mp3',105,125,0,arrabbiato
