file_name,start,end,classID,class
b'1968 - TrackTribe.mp3',0,15,0,arrabbiato
b'1968 - TrackTribe.mp3',10,25,0,arrabbiato
b'1968 - TrackTribe.mp3',20,35,0,arrabbiato
b'1968 - TrackTribe.mp3',30,45,0,arrabbiato
b'1968 - TrackTribe.mp3',40,55,0,arrabbiato
b'1968 - TrackTribe.mp3',50,65,0,arrabbiato
b'1968 - TrackTribe.mp3',60,75,0,arrabbiato
b'1968 - TrackTribe.mp3',70,85,0,arrabbiato
b'1968 - TrackTribe.mp3',80,95,0,arrabbiato
b'1968 - TrackTribe.mp3',90,105,0,arrabbiato
b'1968 - TrackTribe.mp3',100,115,0,arrabbiato
b'1968 - TrackTribe.mp3',110,125,0,arrabbiato
b'1968 - TrackTribe.mp3',120,135,0,arrabbiato
b'A Young Man - ALBIS.mp3',0,15,0,arrabbiato
b'A Young Man - ALBIS.mp3',10,25,0,arrabbiato
b'A Young Man - ALBIS.mp3',20,35,0,arrabbiato
b'A Young Man - ALBIS.mp3',30,45,0,arrabbiato
b'A Young Man - ALBIS.mp3',40,55,0,arrabbiato
b'A Young Man - ALBIS.mp3',50,65,0,arrabbiato
b'A Young Man - ALBIS.mp3',60,75,0,arrabbiato
b'A Young Man - ALBIS.mp3',70,85,0,arrabbiato
b'A Young Man - ALBIS.mp3',80,95,0,arrabbiato
b'A Young Man - ALBIS.mp3',90,105,0,arrabbiato
b'A Young Man - ALBIS.mp3',100,115,0,arrabbiato
b'A Young Man - ALBIS.mp3',110,125,0,arrabbiato
b'A Young Man - ALBIS.mp3',120,135,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',0,15,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',10,25,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',20,35,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',30,45,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',40,55,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',50,65,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',60,75,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',70,85,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',80,95,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',90,105,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',100,115,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',110,125,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',120,135,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',130,145,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',140,155,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',150,165,0,arrabbiato
b'Amazer Lazer - Audio Hertz.mp3',160,175,0,arrabbiato
b'Armadillo - Silent Partner.mp3',0,15,0,arrabbiato
b'Armadillo - Silent Partner.mp3',10,25,0,arrabbiato
